Author,Year,Title,Key words,Decision,Record number,Language,Abstract
A. Dickler,2007,Technology insight: MammoSite--a new device for delivering brachytherapy following breast-conserving therapy,"Brachytherapy/*instrumentation/trends Breast Neoplasms/*radiotherapy/surgery Carcinoma, Ductal, Breast/radiotherapy/surgery Carcinoma, Intraductal, Noninfiltrating Catheterization Combined Modality Therapy Esthetics Female Follow-Up Studies Forecasting Humans *Mastectomy, Segmental Neoplasm Recurrence, Local/epidemiology Neoplasms, Second Primary Patient Acceptance of Health Care Prospective Studies Radiotherapy, Adjuvant/*instrumentation Radiotherapy, Conformal Randomized Controlled Trials as Topic Treatment Outcome Ultrasonography, Interventional",0,365,eng,"The MammoSite (Cytyc Corporation, Marlborough, MA) breast brachytherapy applicator was designed to overcome the logistic problems created by external-beam radiation therapy (EBRT) and the technical difficulties associated with multicatheter-based interstitial brachytherapy. The MammoSite catheter has been shown to treat a volume of tissue equivalent to that treated by multicatheter-based brachytherapy. Using ultrasound guidance, the MammoSite applicator can be placed using an open technique at the time of lumpectomy or post-lumpectomy. Initial results have shown favorable cosmesis and few significant side effects. NSABP B-39/RTOG 0413 randomizes patients between EBRT and partial-breast irradiation (PBI). The PBI arm consists of interstitial brachytherapy, MammoSite brachytherapy, or 3D conformal EBRT. This trial has the potential to provide a definitive answer regarding the benefits of PBI for certain subgroups of patients, and hence lead to more women undergoing breast conservation therapy."
"A.K. Dickler, M. C. Chu, J. Nguyen, C.",2005,The MammoSite breast brachytherapy applicator: a review of technique and outcomes,Brachytherapy/*instrumentation Breast Neoplasms/*radiotherapy Equipment Design Evaluation Studies as Topic Female Humans Middle Aged Radiotherapy Dosage Treatment Outcome,0,366,eng,"The MammoSite breast brachytherapy device was designed to overcome the potential scheduling problems associated with external beam radiotherapy (EBRT) and the technical difficulties of multi-catheter-based interstitial brachytherapy. The device consists of a silicone balloon connected to a catheter which contains an inflation channel and a port for passage of a high-dose-rate brachytherapy source. The American Brachytherapy Society and American Society of Breast Surgeons have published partial breast irradiation (PBI) patient selection guidelines. The MammoSite applicator has been shown in two dosimetric studies to treat a comparable volume to multicatheter-based interstitial implants. The MammoSite catheter can be placed at the time of lumpectomy or in a separate procedure using ultrasound guidance. Four optimization methods have been described: the single point method, the six prescription point method (RUSH Technique), the University of Southern California Norris Cancer Center Method, and the Surface Optimization Technique. An excellent or good cosmetic outcome has been reported in 80% to 93% of patients at 1 year in most studies. Cosmetic results appear highly related to skin spacing. The MammoSite applicator has been associated with early side effects comparable with traditional breast conserving therapy. A NSABP trial will randomize patients to either whole breast irradiation or PBI consisting of interstitial brachytherapy, MammoSite brachytherapy, or 3D conformal radiation."
"Y.W. Ding, W. Li, J. B.",2013,Current status of research on target delineation of partial breast external irradiation after breast-preserving surgery of early breast cancer patients,"Breast Neoplasms/pathology/*radiotherapy/surgery Cone-Beam Computed Tomography Dose Fractionation, Radiation Female Humans Mastectomy, Segmental/adverse effects Neoplasm Staging Radiotherapy Planning, Computer-Assisted/*methods Radiotherapy, Conformal/*methods Respiration Seroma/etiology/pathology Surgical Instruments *Tumor Burden",0,368,chi,
"P.Y. Dong, V. Nguyen, D. Demarco, J. Woods, K. Boucher, S. Low, D. A. Sheng, K.",2014,Feasibility of using intermediate x-ray energies for highly conformal extracranial radiotherapy,"Feasibility Studies Humans Monte Carlo Method Neoplasms/radiotherapy Particle Accelerators Radiometry Radiotherapy Dosage Radiotherapy Planning, Computer-Assisted Radiotherapy, Intensity-Modulated/instrumentation/*methods Reproducibility of Results Robotics *Skull X-Rays",0,371,eng,"PURPOSE: To investigate the feasibility of using intermediate energy 2 MV x-rays for extracranial robotic intensity modulated radiation therapy. METHODS: Two megavolts flattening filter free x-rays were simulated using the Monte Carlo code MCNP (v4c). A convolution/superposition dose calculation program was tuned to match the Monte Carlo calculation. The modeled 2 MV x-rays and actual 6 MV flattened x-rays from existing Varian Linacs were used in integrated beam orientation and fluence optimization for a head and neck, a liver, a lung, and a partial breast treatment. A column generation algorithm was used for the intensity modulation and beam orientation optimization. Identical optimization parameters were applied in three different planning modes for each site: 2, 6 MV, and dual energy 2/6 MV. RESULTS: Excellent agreement was observed between the convolution/superposition and the Monte Carlo calculated percent depth dose profiles. For the patient plans, overall, the 2/6 MV x-ray plans had the best dosimetry followed by 2 MV only and 6 MV only plans. Between the two single energy plans, the PTV coverage was equivalent but 2 MV x-rays improved organs-at-risk sparing. For the head and neck case, the 2 MV plan reduced lips, mandible, tongue, oral cavity, brain, larynx, left and right parotid gland mean doses by 14%, 8%, 4%, 14%, 24%, 6%, 30% and 16%, respectively. For the liver case, the 2 MV plan reduced the liver and body mean doses by 17% and 18%, respectively. For the lung case, lung V 20, V 10, and V5 were reduced by 13%, 25%, and 30%, respectively. V 10 of heart with 2 MV plan was reduced by 59%. For the partial breast treatment, the 2 MV plan reduced the mean dose to the ipsilateral and contralateral lungs by 27% and 47%, respectively. The mean body dose was reduced by 16%. CONCLUSIONS: The authors showed the feasibility of using flattening filter free 2 MV x-rays for extracranial treatments as evidenced by equivalent or superior dosimetry compared to 6 MV plans using the same inverse noncoplanar intensity modulated planning method."
"E. M.C. Donovan, I. Eagle, S. Harris, E.",2012,Clinical implementation of kilovoltage cone beam CT for the verification of sequential and integrated photon boost treatments for breast cancer patients,"Breast/pathology Breast Neoplasms/*diagnostic imaging/pathology/radiotherapy *Cone-Beam Computed Tomography/methods Female Fiducial Markers Humans Phantoms, Imaging Photons/therapeutic use Radiotherapy Dosage Radiotherapy, Intensity-Modulated/*methods Surgical Instruments",0,374,eng,"OBJECTIVE: The objective of this study was to formulate a practical method for the use of cone beam CT (CBCT) for the verification of sequential and integrated tumour bed boosts for early breast cancer patients. METHODS: Partial arc scan geometries were assessed on a treatment unit. Imaging dose measurements on an Elekta Synergy CBCT system were made in a CT dose phantom for scan parameters 100 kV, 25 mA and 40 ms with an S20 collimator. The protocol was used to verify the setup of a cohort of 38 patients, all of whom had surgical clips inserted in the tumour bed. Setup errors with and without an extended no action level (eNAL) protocol were calculated. RESULTS: Arcs from 260 degrees to 85 degrees (left breast) and 185 degrees to 15 degrees (right breast) were found sufficient to image fiducial markers and anatomy whilst accounting for the physical limits of the equipment. A single treatment and imaging isocentre was found by applying simple constraints: isocentre <8 cm from midline and isocentre-couch distance <30 cm. Contralateral breast doses were approximately 2 mGy per scan (right breast) and approximately 12 mGy (left breast). Both mean population systematic error and mean population random error were 3 mm prior to correction. The systematic error reduced to 1.5 mm using an eNAL correction protocol, implying that a 5-mm setup margin could be achieved. CONCLUSION: An image-guided verification protocol using CBCT for breast cancer boost plans was implemented successfully. Setup errors were reduced with an acceptable imaging dose to the contralateral breast."
"E. M.B. Donovan, C. Mitchell, R. A. Mukesh, M. Coles, C. E. Evans, P. M. Harris, E. J.",2014,The effect of image guidance on dose distributions in breast boost radiotherapy,"Breast Neoplasms/*diagnostic imaging/pathology/*radiotherapy Dose Fractionation, Radiation Female Follow-Up Studies Heart/*radiation effects Humans Lung/*radiation effects *Organ Sparing Treatments Organs at Risk Prognosis Radiotherapy Planning, Computer-Assisted/*methods Radiotherapy, Intensity-Modulated/methods Tomography, X-Ray Computed Breast boost image-guided radiotherapy margin reduction treatment planning",0,373,eng,"AIMS: To determine the effect of image-guided radiotherapy on the dose distributions in breast boost treatments. MATERIALS AND METHODS: Computed tomography images from a cohort of 60 patients treated within the IMPORT HIGH trial (CRUK/06/003) were used to create sequential and concomitant boost treatment plans (30 cases each). Two treatment plans were created for each case using tumour bed planning target volume (PTV) margins of 5 mm (achieved with image-guided radiotherapy) and 8 mm (required for bony anatomy verification). Dose data were collected for breast, lung and heart; differences with margin size were tested for statistical significance. RESULTS: A median decrease of 29 cm(3) (range 11-193 cm(3)) of breast tissue receiving 95% of the prescribed dose was observed where image-guided radiotherapy margins were used. Decreases in doses to lungs, contralateral breast and heart were modest, but statistically significant (P < 0.01). Plan quality was compromised with the 8 mm PTV margin in one in eight sequential boost plans and one third of concomitant boost plans. Tumour bed PTV coverage was <95% (>91%) of the prescribed dose in 12 cases; in addition, the required partial breast median dose was exceeded in nine concomitant boost cases by 0.5-3.7 Gy. CONCLUSIONS: The use of image guidance and, hence, a reduced tumour bed PTV margin, in breast boost radiotherapy resulted in a modest reduction in radiation dose to breast, lung and heart tissues. Reduced margins enabled by image guidance were necessary to discriminate between dose levels to multiple PTVs in the concomitant breast boost plans investigated."
"M.H. Dore, C.",2012,Late sequelae and cosmetic outcome after radiotherapy in breast conserving therapy,"Atrophy/etiology Breast/pathology Breast Neoplasms/*radiotherapy/*surgery Early Detection of Cancer *Esthetics Female Fibrosis/etiology Humans *Mastectomy, Segmental Myofibroblasts/pathology Quality of Life Radiation Injuries/prevention & control Radiation Tolerance Radiotherapy/adverse effects Risk Factors Transforming Growth Factor beta1/physiology",0,377,fre,"Radiotherapy after breast-conserving therapy for early breast cancer is reported to adversely affect the cosmetic outcome. The incidence of radiation-induced fibroatrophy is around 10% at 5 years. A better knowledge of its pathophysiology has revealed the essential role of activated fibroblasts and reactive oxygen species, mediated by TGF beta 1, allowing the development of antioxidant in the management of the established radiation-induced fibroatrophy. Cosmetic sequelae are evaluated with standardized scales, such as the LENT-SOMA and must be monitored during at least 5 years. The main factors determining the occurrence of sequelae are a large breast volume, dose heterogeneity and the use of tumour bed boost after whole-breast radiation therapy. Intensity modulated radiotherapy and partial breast irradiation position themselves as a good alternatives to reduce the incidence of late skin side effects. The use of predictive tests of intrinsic radiosensitivity might fit into the therapeutic strategy."
"M. N.M. Duma, S. Oechsner, M. Combs, S. E.",2017,Heart-sparing radiotherapy in patients with breast cancer: What are the techniques used in the clinical routine?: A pattern of practice survey in the German-speaking countries,"Breast Neoplasms/*radiotherapy Female Germany Heart Humans Organs at Risk Practice Patterns, Physicians' Radiotherapy/methods/statistics & numerical data Surveys and Questionnaires Breast cancer Heart-sparing radiotherapy techniques Pattern of practice survey",0,379,eng,"The aim of this study was to understand the practice of care in German-speaking countries with regard to heart-sparing radiotherapy techniques. Between August 2015 and September 2015, an e-mail/fax-based survey was sent to radiation oncology departments in Germany, Austria, and the German-speaking Switzerland. The questionnaire was divided into 3 chapters: a general chapter on the department, a chapter specific for heart-sparing techniques in patients with breast cancer, and a third chapter on personal beliefs on the topic of heart sparing in patients with breast cancer. A total of 82 radiation oncology departments answered the questionnaire: 16 university clinics and 66 other departments. In general, heart-sparing techniques are being offered by 90.2% of departments for radiation oncology in the German-speaking countries. However, in the clinical routine, 87.7% of institutions use heart-sparing techniques in less than 50% of patients with breast cancer. Heart-sparing techniques are especially provided for patients with left-sided breast cancer (80%), patients after mastectomy (52.5%), and when the mammaria interna lymph drainage vessels are irradiated (41.3%). In 46.3% of departments, there are written internal guidelines for heart sparing in patients with breast cancer. Breathing-adapted radiotherapy is used as the most frequent heart-sparing technique in 64.7% of the institutions, followed by intensity-modulated radiation therapy, which is most frequently used by 22.1%. The only significant difference between university hospitals and other departments was seen for the offering of partial breast irradiation. The most commonly used heart-sparing technique is breathing-adapted radiotherapy, but there is no coherent approach for heart sparing in patients with breast cancer in the German-speaking countries. Overall, all options for cardiac protection/cardiac avoidance have their advantages and disadvantages, with deep inspiration breath-hold radiotherapyhaving the most clear data, which should be the preferred choice when using heart-sparing techniques."
"C.B. Durdux, C.",2008,Radiation therapy in the elderly,"Aged Aged, 80 and over Aging/physiology Breast Neoplasms/radiotherapy Female Head and Neck Neoplasms/surgery Humans Lung Neoplasms/radiotherapy Lymphatic Irradiation Male Neoplasms/*radiotherapy/surgery Pelvic Neoplasms/radiotherapy Radiosurgery Radiotherapy Dosage Radiotherapy, Conformal",0,381,fre,"Cancer is a disease that predominantly occurs in older patients who represent a quarter of the population in western countries. Numerous types of cancer are observed in elderly people. Radiotherapy is one of the most powerful treatment against cancer. The purpose of this review is to highlight sights of radiation oncology specifically related to aging. Particular emphasis is placed on logistic and technical aspects of radiation. Special techniques are also reviewed that have particular relevance to the treatment of the elderly, as modulated intensity radiotherapy, gating, cyberknife use and partial breast irradiation. Most of published studies have demonstrated feasibility of radiotherapy in curative or palliative intent whatever cancer types are considered. Complete geriatric assessment and a multidisciplinary approach are the key points."
"M.P. Dzhugashvili, C. Dunant, A. Balleyguier, C. Delaloge, S. Mathieu, M. C. Garbay, J. R. Marsiglia, H. Bourgier, C.",2010,Surgical clips assist in the visualization of the lumpectomy cavity in three-dimensional conformal accelerated partial-breast irradiation,"Breast Neoplasms/*diagnostic imaging/radiotherapy/*surgery Female Humans *Mastectomy, Segmental Radiotherapy, Conformal *Surgical Instruments Tomography, X-Ray Computed",0,382,eng,"PURPOSE: To determine to what extent the placement of surgical clips helps delineate the cavity in three-dimensional conformal accelerated partial-breast irradiation. PATIENTS AND METHODS: Planning CT images of 100 lumpectomy cavities were reviewed in a cohort of 100 consecutive patients. The cavities were determined and categorized by two radiation oncologists according to cavity visualization score criteria and the breast density score. The two physicians first attempted to delineate the lumpectomy cavity without clips and then with clips. RESULTS: In the case of high-density mammary tissue, the breast remodeling done during surgery does not enable the lumpectomy cavity to be sufficiently visualized. The use of surgical clips significantly improved the ability to visualize the lumpectomy cavity, with a 69% rate of concordance between physicians regardless of the breast tissue density. CONCLUSION: The placement of surgical clips at lumpectomy enables visualization of the lumpectomy cavity and allows upgrading of the cavity visualization score on CT scans obtained for accelerated partial-breast irradiation treatment planning."
"M.T. Dzhugashvili, E. Pichenot, C. Dunant, A. Pessoa, E. Khallel, A. Gouy, S. Uzan, C. Garbay, J. R. Rimareix, F. Spielmann, M. Vielh, P. Marsiglia, H. Bourgier, C.",2009,3D-conformal accelerated partial breast irradiation treatment planning: the value of surgical clips in the delineation of the lumpectomy cavity,"Adult Aged Aged, 80 and over Breast Neoplasms/*pathology/*radiotherapy/surgery Combined Modality Therapy Female Humans Mastectomy, Segmental/*instrumentation/methods Middle Aged Observer Variation Radiotherapy Planning, Computer-Assisted/*methods Radiotherapy, Conformal *Surgical Instruments",0,383,eng,"BACKGROUND: Accurate localisation of the lumpectomy cavity (LC) volume is one of the most critical points in 3D-conformal Partial breast irradiation (3D-APBI) treatment planning because the irradiated volume is restricted to a small breast volume. Here, we studied the role of the placement of surgical clips at the 4 cardinal points of the lumpectomy cavity in target delineation. METHODS: Forty CT-based 3D-APBI plans were retrieved on which a total of 4 radiation oncologists, two trainee and two experienced physicians, outlined the lumpectomy cavity. The inter-observer variability of LC contouring was assessed when the CTV was defined as the delineation that encompassed both surgical clips and remodelled breast tissue. RESULTS: The conformity index of tumour bed delineation was significantly improved by the placement of surgical clips within the LC (median at 0.65). Furthermore, a better conformity index of LC was observed according to the experience of the physicians (median CI = 0.55 for trainee physicians vs 0.65 for experienced physicians). CONCLUSIONS: The placement of surgical clips improved the accuracy of lumpectomy cavity delineation in 3D-APBI. However, a learning curve is needed to improve the conformity index of the lumpectomy cavity."
"M.H. El Nemr, S. Verstraet, R. Biron, B. Azoury, F. Marsiglia, H. Bourgier, C.",2011,Mixed modality treatment planning of accelerated partial breast irradiation: to improve complex dosimetry cases,"Aged Breast Neoplasms/*radiotherapy Female Humans Middle Aged Radiation Dosage Radiotherapy Planning, Computer-Assisted/*methods Radiotherapy, Adjuvant/methods Radiotherapy, Conformal/methods",0,384,eng,"BACKGROUND: Although 3D-conformal accelerated partial breast irradiation (APBI) is widely used, several questions still remain such as what are the optimal treatment planning modalities. Indeed, some patients may have an unfavorable anatomy and/or inadequate dosimetric constraints could be fulfilled (complex cases""). In such cases, we wondered which treatment planning modality could be applied to achieve 3D-conformal APBI (2 mini-tangents and an ""en face"" electron field or non-coplanar photon multiple fields; or a mixed technique combining non-coplanar photon multiple fields with an ""en face"" electron beam). METHODS: From October 2007 to March 2010, 55 patients with pT1N0 breast cancer were enrolled in a phase II APBI trial. Among them, 7 patients were excluded as they were considered as ""complex cases"". A dosimetric comparison was performed according to the 3 APBI modalities mentioned above and assessed: planning treatment volume (PTV) coverage, PTV/whole breast ratio, lung and heart distance within irradiated field and exposure of organs at risk (OAR). RESULTS: Adequate PTV coverage was obtained with the 3 different treatment planning. Regarding OAR exposure, the ""mixed technique"" seemed to reduce the volume of non-target breast tissue in 4 cases compared to the other techniques (in only 1 case), with the mean V50% at 44.9% (range, 13.4 - 56.9%) for the mixed modality compared to 51.1% (range, 22.4 - 63.4%) and 51.8% (range, 23.1 - 59.5%) for the reference and non-coplanar techniques, respectively. The same trend was observed for heart exposure. CONCLUSIONS: The mixed technique showed a promising trend of reducing the volume of non-target breast tissue and heart exposure doses in APBI ""complex cases""."""
"J.S. Esthappan, L. Yang, D. Mutic, S. Low, D. A. Grigsby, P. W.",2009,Use of serial CT imaging for the quality assurance of MammoSite therapy,"Aged *Brachytherapy Breast Neoplasms/*diagnostic imaging/*radiotherapy/surgery Female Humans Mastectomy, Segmental Quality Assurance, Health Care Radiotherapy Planning, Computer-Assisted *Radiotherapy, Intensity-Modulated *Tomography, X-Ray Computed",0,387,eng,"PURPOSE: As experience with the MammoSite device for accelerated partial breast irradiation (APBI) has increased, more centers are starting to use three-dimensional (3D) treatment planning to generate plans with multiple nonequally weighted dwell positions. This report presents the use of serial computed tomography (CT) imaging, in addition to planar or ultrasound imaging, for the quality assurance of an APBI treatment using the elliptical MammoSite. METHODS AND MATERIALS: CT images of a patient implanted with a 4cmx6cm elliptical MammoSite balloon were acquired. A treatment plan using multiple, nonequally weighted dwells was generated and delivered on Day 1 of a 10-fraction, twice-daily treatment. Before morning treatments on Days 2-5, the patient was reimaged on CT. Treatment plans on repeat CTs were generated two ways: using the decay-corrected plan from Day 1 (unadapted) vs. modifying the plan to account for changes in implant geometry (adapted). Adapted and unadapted plans on repeat CTs were compared with one another, and to the Day 1 plan. RESULTS: The use of unadapted plans led to increased doses to normal tissues, particularly the skin. Adaptive planning on the repeat CTs was effective for maintaining acceptable dosimetry throughout treatment. CONCLUSIONS: Serial CT imaging was shown to provide a useful tool for the quality assurance of an elliptical balloon implant during the course of treatment. Serial CT imaging, as opposed to planar or ultrasound imaging, was necessary to evaluate skin dose and to facilitate adaptation of the treatment plan to satisfy limits for skin dose."
"E.S. Falvo, L. Citro, G. Giordano, C. Arcangeli, S. Soriani, A. D'Alessio, D. Muti, P. Blandino, G. Sperduti, I. Pinnaro, P.",2011,"Dose and polymorphic genes xrcc1, xrcc3, gst play a role in the risk of articledeveloping erythema in breast cancer patients following single shot partial breast irradiation after conservative surgery","Aged Aged, 80 and over Breast Neoplasms/*genetics/*radiotherapy/surgery DNA Repair/genetics DNA-Binding Proteins/genetics Erythema/etiology/*genetics Female Genetic Predisposition to Disease/*genetics Genotype Glutathione S-Transferase pi/genetics Glutathione Transferase/genetics Humans Logistic Models Middle Aged Multivariate Analysis Oxidative Stress/genetics *Polymorphism, Single Nucleotide Prospective Studies Rad51 Recombinase/genetics *Radiotherapy Dosage Radiotherapy, Conformal/adverse effects/methods Risk Factors X-ray Repair Cross Complementing Protein 1",0,389,eng,"BACKGROUND: To evaluate the association between polymorphisms involved in DNA repair and oxidative stress genes and mean dose to whole breast on acute skin reactions (erythema) in breast cancer (BC) patients following single shot partial breast irradiation (SSPBI) after breast conservative surgery. MATERIALS AND METHODS: Acute toxicity was assessed using vers.3 criteria. single nucleotides polymorphisms(SNPs) in genes: XRCC1(Arg399Gln/Arg194Trp), XRCC3 (A4541G-5'UTR/Thr241Met), GSTP1(Ile105Val), GSTA1 and RAD51(untranslated region). SNPs were determined in 57 BC patients by the Pyrosequencing analysis. Univariate(ORs and 95% CI) and logistic multivariate analyses (MVA) were performed to correlate polymorphic genes with the risk of developing acute skin reactions to radiotherapy. RESULTS: After SSPBI on the tumour bed following conservative surgery, grade 1 or 2 acute erythema was observed in 19 pts(33%). Univariate analysis indicated a higher significant risk of developing erythema in patients with polymorphic variant wt XRCC1Arg194Trp, mut/het XRCC3Thr241Met, wt/het XRCC3A4541G-5'UTR. Similarly a higher erythema rate was also found in the presence of mut/het of XRCC1Arg194Trp or wt of GSTA1. Whereas, a lower erythema rate was observed in patients with mut/het of XRCC1Arg194Trp or wt of XRCC1Arg399Gln. The mean dose to whole breast(p = 0.002), the presence of either mut/het XRCC1Arg194Trp or wt XRCC3Thr241Met (p = 0.006) and the presence of either mut/het XRCC1Arg194Trp or wt GSTA1(p = 0.031) were confirmed as predictors of radiotherapy-induced erythema by MVA. CONCLUSIONS: The Whole breast mean dose together with the presence of some polymorphic genes involved in DNA repair or oxidative stress could explain the erythema observed after SSPBI, but further studies are needed to confirm these results in a larger cohort."
"L. L.L. Fan, Y. K. Xu, J. H. He, L. Wang, J. Du, X. B.",2014,A dosimetry study precisely outlining the heart substructure of left breast cancer patients using intensity-modulated radiation therapy,"Adult Breast Neoplasms/*diagnostic imaging/*radiotherapy Feasibility Studies Female Heart/*diagnostic imaging/radiation effects Humans Middle Aged Organs at Risk/*diagnostic imaging/radiation effects Patient Positioning/*methods Prone Position Radiation Injuries/etiology/prevention & control Radiotherapy Dosage Radiotherapy Planning, Computer-Assisted/methods Radiotherapy, Conformal/*adverse effects/methods Radiotherapy, Image-Guided/methods Reproducibility of Results Sensitivity and Specificity Supine Position Tomography, X-Ray Computed/*methods Treatment Outcome",0,390,eng,"The purpose of this study was to evaluate the feasibility of delineating the substructure of the heart by using 64-slice spiral CT coronary angiography (CTA) in breast cancer patients who underwent left breast-conserving surgery, and to compare the dosimetric differences between the targets and organs at risk in the prone and supine positions in intensity-modulated radiation therapy (IMRT) planning. From January to December 2011, ten patients who underwent left breast-conserving surgery were enrolled in this study. CTA was performed in both the supine and prone positions during the simulation, and conventional scanning without CTA was performed at the same time. Image registration was performed for paired image series using a commercially available planning system. In a conventional image series, the clinical target volume (CTV) of the whole breast, planning target volume (PTV), bilateral lungs (L-Lung, R-Lung), spinal cord, contralateral breast (R-Breast), and heart were delineated. In the CTA image series, the left ventricular (LV) and left anterior descending coronary arteries (LAD) and the planning risk volume (LAD-PRV) of the LAD (LAD with a 1 cm margin) were outlined. For each patient, two separate IMRT plans were developed for the supine and prone positions. A total of 20 plans were generated. The following indicators were compared: Dmean and D95 for the PTV; Dmean, V5, and V20 for the left lung; Dmean, V10, V20, V25, V30, and V40 for the heart and its substructures (LAD-PRV, LV); Dmean and V5 for the right lung; and Dmax and Dmean for the right breast. Using CTA to delineate the substructures of the heart is simple and straightforward. Plans for both the prone and supine positions reached the prescribed dose for the PTV without significant differences. Dose distributions were acceptable for both the prone and supine positions. However, the LAD-PRV, LV, heart, and L-Lung received smaller doses in the prone position plans than in the supine position plans. The Dmean values reduced by 445.83 cGy (p = 0.043), 575.00 cGy (p = 0.003), 402.00 cGy (p = 0.039), and 553.33 cGy (p = 0.004) in the LAD-PRV, LV, heart, and L-Lung. In addition, the V25 lessened 12.54% (p = 0.042) and 8.70% (p = 0.019) in the LV and heart, while the V20 was decreased 8.57% (p = 0.042), 15.21% (p = 0.026), 12.59% (p = 0.011), and 10.62% (p = 0.006) in the LAD-PRV, LV, heart, and L-Lung, respectively. Similarly, the V10 and V30 were reduced by 28.31% (p = 0.029) and 5.54% (p = 0.034) in the heart, while the V5 was cut back 27.86% (p = 0.031) in the L-Lung. For most Asian women with average-sized breasts after breast conserving treatment (BCT), prone positioning during IMRT radiation will reduce the dose to the ipsilateral lung, heart, and substructures of the heart, which may reduce the incidence of cardiovascular events after radiotherapy more than radiation therapy performed in a supine position. Using CTA to delineate the substructures of the heart is easy and intuitive. It is cost-effective and highly recommended for breast cancer IMRT. However, the dose-volume limits of the heart substructures remain to be determined."
"D. J.G. Ferraro, A. A. DeWees, T. A. Margenthaler, J. A. Naughton, M. Aft, R. Gillanders, W. E. Eberlein, T. Matesa, M. A. Zoberi, I.",2012,Comparison of accelerated partial breast irradiation via multicatheter interstitial brachytherapy versus whole breast radiation,"Adult Aged Aged, 80 and over Antineoplastic Agents/therapeutic use Brachytherapy/instrumentation/*methods Breast Neoplasms/drug therapy/*radiotherapy/surgery Carcinoma/drug therapy/*radiotherapy/surgery Catheters Combined Modality Therapy Disease-Free Survival Female Follow-Up Studies Humans Kaplan-Meier Estimate Mastectomy, Segmental Middle Aged Practice Guidelines as Topic Radiotherapy, Adjuvant/instrumentation/*methods Radiotherapy, Intensity-Modulated/*methods Retrospective Studies Treatment Outcome",0,393,eng,"BACKGROUND: Brachytherapy as adjuvant treatment for early-stage breast cancer has become widely available and offers patients an expedited treatment schedule. Given this, many women are electing to undergo brachytherapy in lieu of standard fractionation radiotherapy. We compare outcomes between patients treated with accelerated partial breast irradiation (APBI) via multicatheter interstitial brachytherapy versus patients who were also eligible for and offered APBI but who chose whole breast radiation (WBI). METHODS: Patients treated from December 2002 through May 2007 were reviewed. Selection criteria included patients with pTis-T2N0 disease, </= 3 cm unifocal tumors, and negative margins who underwent breast conservation surgery. Local control (LC), cause-specific (CSS) and overall survival (OS) were analyzed. RESULTS: 202 patients were identified in the APBI cohort and 94 patients in the WBI cohort. Median follow-up for both groups exceeded 60 months. LC was 97.0% for the APBI cohort and 96.2% for the WBI cohort at 5 years (ns). Classification by 2010 ASTRO APBI consensus statement categories did not predict worse outcomes. CONCLUSION: APBI via multicatheter interstitial brachytherapy provides similar local failure rates compared to WBI at 5 years for properly selected patients. Excellent results were seen despite the high fraction of younger patients (< 60 years old) and patients with DCIS."
